seller_id,seller_city,seller_state,total_orders,unique_products,total_revenue,avg_price,avg_rating,avg_delivery_days,late_delivery
0f0c984a4a955310903b6b6008660bad,franca,SP,4,4,369.81,92.45,3.75,13.5,25.00
0f519b0d2e5eb2227c93dd25038bfc01,ibitinga,SP,1,1,79.90,79.90,5.00,12.0,0.00
0f7eea709efdf942b5f95c7516dbacd7,pedrinhas paulista,SP,3,2,195.74,65.25,4.00,7.7,0.00
0f80a40c312b2472dca482cf50f5186f,lencois paulista,SP,1,1,129.90,129.90,3.00,5.0,0.00
0f94588695d71662beec8d883ffacf09,florianopolis,SC,1,1,9.00,9.00,5.00,14.0,0.00
0fe2d9733ed841eb064503920015a8c0,ourinhos,SP,3,3,389.64,129.88,4.67,8.0,0.00
0ff83046c3fa22efee8ecf291888b191,caxias do sul,RS,10,6,768.90,69.90,4.82,11.9,0.00
0ffa40d54288e4f3499b8780dd0f144f,presidente prudente,SP,33,21,2162.80,61.79,4.40,13.1,14.29
10076e5788b8ee532724bcd460baf762,batatais,SP,23,13,821.48,31.60,4.62,9.4,3.85
10089e9f2fd0c668a8fd4e52e1698888,sao jose do rio preto,SP,3,3,1139.90,379.97,4.33,7.0,0.00
101921376b577a4540dc30e9009133ca,rio claro,SP,1,1,373.00,373.00,2.00,,
101a3a003516bc11253298b2fad3cb65,rio claro,SP,5,2,450.00,75.00,4.83,6.3,0.00
1025f0e2d44d7041d6cf58b6550e0bfa,sao paulo,SP,915,154,138968.55,97.32,3.85,11.6,9.17
10264f60a8f0a4d2f30810f5c661c673,campinas,SP,4,2,284.60,71.15,5.00,3.5,0.00
1099a00e0ee3a50935e6c2447ca090c5,rio de janeiro,RJ,3,3,849.70,283.23,3.67,14.7,33.33
10cdd491d1dbea8fb4ead97b19c334ce,santa rita do sapucai,MG,3,2,208.90,69.63,5.00,6.3,0.00
10ff823eda2b032e2c93d17a7d294736,pederneiras,SP,9,6,1294.97,143.89,3.89,9.4,0.00
112453736dbe3889cfb74e1aaa0ba0c1,sao paulo,SP,7,2,1890.00,135.00,4.07,13.1,0.00
1127b7f2594683f2510f1c2c834a486b,campinas,SP,114,74,6851.33,51.90,4.09,9.7,6.06
11305281b50fff20ae8bb473f8e11876,uba,MG,35,18,6528.70,163.22,4.35,13.6,12.50
113e3a788b935f48aad63e1c41dac1bd,aparecida,SP,39,28,847.35,17.65,4.40,11.6,4.17
116ccb1a1604bc88e4d234a8c23f33de,sao bernardo do campo,SP,61,27,2004.89,27.46,4.60,8.3,5.48
11742f81550ac064cc9a40f67151d9ad,catanduva,SP,2,2,781.90,390.95,5.00,8.5,0.00
117cfc326c6d50da67ca858ff5c0c852,sao joao de meriti,RJ,5,2,454.60,90.92,4.60,5.8,0.00
11938fcc75f6902fea1d0a6f72b54a57,sao miguel d'oeste,SC,2,2,594.98,297.49,3.00,21.5,0.00
119c7f1a00ef43fad0e57604e76a747c,sao paulo,SP,2,2,189.80,94.90,4.50,5.5,0.00
119d1aef1b4144adba89163f6cd9f5d4,pedreira,SP,4,3,1094.00,273.50,4.75,4.3,0.00
11bfa66332777660bd0640ee84d47006,ribeirao preto,SP,76,40,3925.87,38.49,3.78,15.7,17.65
11d4c477d09821164bca4f70a2eae031,ribeirao preto,SP,3,2,83.04,20.76,5.00,6.0,0.00
11eac105f3f90a9b87b19c89d91e24f3,sao paulo,SP,5,4,802.89,160.58,3.60,8.8,0.00
11fb6f6d341adbe19e81733701704635,sao paulo,SP,3,1,1197.00,399.00,5.00,4.7,0.00
120476eb7a04c149d14772edaf5d9bf2,angra dos reis,RJ,4,4,2368.80,394.80,3.83,6.3,0.00
1284de4ae8aa26997e748c851557cf0e,laranjeiras do sul,SP,3,3,1459.97,486.66,2.67,18.7,0.00
128639473a139ac0f3e5f5ade55873a5,maringa,PR,533,66,11908.85,21.27,4.18,14.0,6.25
128f9bfbe4c7d5185033914b1de3d39a,atibaia,SP,14,9,1277.29,79.83,4.75,12.5,6.25
12a8eb0f8d1cd3270695bf2a99f55966,sao paulo,SP,2,2,397.00,198.50,3.50,20.5,50.00
12b9676b00f60f3b700e83af21824c0e,montenegro,RS,135,37,26774.00,198.33,4.52,14.6,1.48
12c2ed9cded6138cf0c75f525f565fc7,praia grande,SP,4,4,314.96,78.74,4.25,13.0,50.00
13074f016982ff2bd6c58ced8682f000,bento goncalves,RS,14,5,2116.00,141.07,3.93,14.0,26.67
131fcb0a0c9a47bba4474aacff0f14b7,sao paulo,SP,4,2,369.80,92.45,4.00,3.8,0.00
1336efc61c316ddf92c899eb817f7cae,assis,SP,74,50,4837.31,56.91,3.94,11.2,9.41
134285d1f41da5c13a756ee8142c8a4e,sao paulo,SP,3,2,1572.70,393.18,2.75,8.3,0.00
134a288e7de827ec5ec62e3ec9c3a295,sao paulo,SP,9,7,877.45,97.49,4.78,9.1,0.00
134b867a0f7f8bbe6abf10f91874891e,valinhos,SP,1,1,789.89,789.89,4.00,12.0,0.00
13511db12ac61e2f89c53b72a944a60b,caxias do sul,RS,6,4,798.00,133.00,3.50,8.8,16.67
1352e06ae67b410cdae0b2a22361167b,rio de janeiro,RJ,4,2,696.00,174.00,2.33,33.5,50.00
1354d51653f645349064725ed204e85e,sao paulo,SP,18,13,2410.00,120.50,3.80,8.7,5.00
138dbe45fc62f1e244378131a6801526,sao paulo,SP,49,22,1125.56,19.41,3.98,5.9,3.45
139157dd4daa45c25b0807ffff348363,sao paulo,SP,1,1,29.90,29.90,4.00,1.0,0.00
13c2ed7698b3ca92dad49e849219da59,ponta grossa,PR,8,7,498.61,55.40,4.44,11.0,0.00
13d058e4eeac2ce8217660b2f8a05812,osasco,SP,23,3,3829.77,166.51,4.22,10.8,13.04
13d95f0f6f73943d4ceffad0fc2cd32c,goiania,GO,1,1,249.99,249.99,3.00,22.0,100.00
13dd308f81fea30cc670c656b2b46cc3,santa barbara d'oeste,SP,3,2,117.70,39.23,5.00,3.0,33.33
13e85aac53340018b40c2af68001b7e0,pedreira,SP,1,1,17.80,17.80,5.00,17.0,0.00
13f57c12a00ed4610db646b913a7f5c6,santos,SP,7,6,645.20,49.63,4.77,12.3,15.38
13fa2a6c6b9d0f43cb588d7c82117a12,sao paulo,SP,9,4,4528.00,452.80,4.00,20.0,30.00
141440cad9341e553f8401c574a2aa38,pitanga,PR,11,9,1288.20,107.35,4.17,6.5,0.00
1430239a858e7682bbc43b20758af153,sao paulo,SP,18,10,660.79,28.73,3.96,6.9,0.00
1444c08e64d55fb3c25f0f09c07ffcf2,lauro de freitas,BA,1,1,2749.00,2749.00,1.00,10.0,0.00
1464afc72f696af775557a821c2e253f,nova friburgo,RJ,29,8,1059.36,35.31,4.17,10.8,3.33
14a08204d03bb6b6bde8029f801ae0eb,sao paulo,SP,28,24,2185.40,57.51,3.82,8.3,0.00
14d7985702e72162bbf13b6beb74ab2b,santo andre,SP,37,26,3887.00,102.29,4.34,10.6,13.16
14ee35374a7876217954b5fa08e50463,sao jose do rio preto,SP,6,2,809.00,134.83,4.33,17.0,16.67
14f2b3587172b9db894c9bad8dab520b,ipe,RS,2,1,244.00,122.00,2.50,13.5,0.00
152ee17e4c8aaf53dac99f3462e4999b,garuva,SC,6,3,308.96,51.49,4.33,10.3,0.00
154bdf805377afea75a3bd158e9eab10,ibitinga,SP,1,1,89.90,89.90,1.00,24.0,100.00
1554a68530182680ad5c8b042c3ab563,monte siao,MG,247,70,29052.53,108.00,4.24,13.6,7.06
